Trial,Match,RotationA,RotationB,Correct,RT
166,True,45,105,True,0.9987459999999828
167,True,45,165,True,1.3737189999999941
168,True,225,345,True,1.1976359999999886
169,True,315,375,True,0.9009199999999851
170,False,135,195,True,0.9039070000000038
171,False,315,435,True,1.850779999999986
172,True,315,435,True,0.8790070000000014
173,False,225,285,True,1.4272929999999633
174,False,315,435,True,1.0810989999999947
175,True,135,195,True,1.2999320000000125
176,True,135,255,True,0.8624740000000202
177,False,315,435,True,1.6752670000000194
178,True,315,375,True,1.2964370000000258
179,False,135,195,True,1.6839460000000486
180,False,45,105,True,1.622021000000018
181,False,135,195,True,1.0196430000000305
182,True,315,375,True,1.1379079999999817
183,False,135,195,True,0.8025369999999725
184,True,135,255,True,1.0472619999999893
185,False,315,375,True,0.8623400000000174
186,True,45,165,True,0.9632599999999911
187,True,315,435,True,1.0841760000000136
188,True,225,285,True,1.1597340000000145
189,True,315,375,True,1.1289879999999926
190,True,45,105,True,1.2104630000000043
191,True,225,285,True,0.9930709999999863
192,True,225,345,True,1.0646480000000338
193,False,135,195,True,0.9002820000000042
194,False,135,255,True,1.0230090000000018
195,False,135,255,True,0.6691529999999943
196,False,225,345,False,0.9618410000000495
197,True,45,105,True,1.0345749999999612
198,True,45,105,True,1.06412499999999
199,True,315,435,True,0.9249269999999683
200,True,45,165,True,2.047282999999993
201,False,315,435,True,1.6680399999999622
202,True,225,345,True,1.7117159999999672
203,True,315,435,True,1.0498980000000415
204,False,315,375,True,0.9747619999999984
205,False,45,165,True,2.6392470000000117
206,True,45,165,True,0.9709889999999746
207,True,315,435,True,0.7393109999999865
208,True,315,375,True,0.6689979999999878
209,True,225,345,True,0.8174920000000157
210,False,315,375,True,0.9758519999999749
211,True,45,165,True,1.2400439999999548
212,True,45,165,True,0.6419060000000059
213,True,315,375,True,0.7277369999999905
214,False,225,285,True,1.532886000000019
215,False,315,435,True,1.2935110000000236
216,True,135,255,True,0.9211479999999597
217,True,225,285,True,1.3156290000000013
218,False,135,195,True,0.6854129999999827
219,False,135,255,True,0.7291930000000093
220,True,225,345,True,1.8121430000000487
221,True,225,345,True,0.4817429999999945
222,True,225,345,True,0.5495629999999778
223,True,225,345,True,0.5508590000000027
224,True,135,255,True,1.1281470000000127
225,True,225,345,True,0.966701999999998
226,True,315,375,True,0.6982769999999618
227,True,225,285,True,0.8373770000000036
228,False,135,255,True,1.2910850000000096
229,False,45,165,False,0.8462959999999953
